                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.48441,                0.79702,                 1.1678,                0.75371,                0.81275,                0.86327,                0.79062,                0.40332,                0.68978,                 1.0747,               0.006634,               0.006634,               0.006634
                     36,                0.48107,                0.81082,                 1.1672,                0.80398,                0.79672,                0.87171,                0.80358,                0.39017,                0.67236,                 1.0557,               0.006535,               0.006535,               0.006535
                     37,                0.48319,                0.80304,                 1.1679,                0.77562,                 0.7682,                0.86107,                 0.7831,                0.45361,                0.79657,                 1.1283,               0.006436,               0.006436,               0.006436
                     38,                0.48487,                0.79361,                 1.1708,                0.72643,                0.66926,                0.78514,                0.63133,                0.69664,                0.98478,                 1.4135,               0.006337,               0.006337,               0.006337
                     39,                0.47103,                0.79941,                 1.1639,                0.81722,                0.80399,                0.87605,                0.80982,                0.39011,                0.66309,                 1.0597,               0.006238,               0.006238,               0.006238
                     40,                0.45237,                0.76233,                 1.1466,                0.78662,                0.85159,                  0.909,                0.83721,                0.39097,                0.64812,                 1.0567,               0.006139,               0.006139,               0.006139
                     41,                0.47002,                0.74565,                 1.1596,                0.79477,                0.84231,                0.90475,                0.82732,                0.39169,                0.59983,                 1.0483,                0.00604,                0.00604,                0.00604
                     42,                 0.4601,                0.75243,                 1.1608,                0.83999,                0.84496,                0.90255,                0.83694,                0.38253,                0.59687,                  1.041,               0.005941,               0.005941,               0.005941
                     43,                0.46016,                0.74415,                 1.1544,                0.80763,                0.83381,                0.89421,                0.81784,                0.39896,                0.65457,                 1.0651,               0.005842,               0.005842,               0.005842
                     44,                0.45862,                0.72826,                 1.1513,                0.85227,                 0.8452,                0.91129,                0.84647,                 0.3725,                0.58682,                  1.021,               0.005743,               0.005743,               0.005743
                     45,                0.45266,                0.71894,                 1.1455,                 0.8389,                0.76107,                0.87959,                0.81859,                0.37748,                0.64179,                 1.0299,               0.005644,               0.005644,               0.005644
                     46,                0.44522,                0.72047,                 1.1442,                0.84381,                0.84323,                0.91385,                0.84432,                0.38211,                0.58239,                 1.0264,               0.005545,               0.005545,               0.005545
                     47,                 0.4565,                0.70578,                 1.1456,                0.83273,                0.85684,                0.90958,                0.85027,                 0.3537,                0.59224,                0.99542,               0.005446,               0.005446,               0.005446
                     48,                0.44174,                0.71192,                 1.1471,                0.80518,                0.82786,                0.87577,                0.80856,                0.37857,                0.63268,                 1.0401,               0.005347,               0.005347,               0.005347
                     49,                0.44649,                0.70107,                 1.1405,                0.79617,                0.81508,                0.89354,                0.82764,                0.37331,                0.65521,                 1.0235,               0.005248,               0.005248,               0.005248
                     50,                0.44266,                0.69294,                 1.1424,                0.84442,                0.82038,                0.89649,                0.82759,                0.37788,                0.61453,                 1.0413,               0.005149,               0.005149,               0.005149
                     51,                0.44695,                 0.7013,                 1.1454,                0.80706,                0.73722,                0.84933,                0.77794,                0.41041,                0.71753,                 1.0723,                0.00505,                0.00505,                0.00505
                     52,                0.42661,                0.66488,                  1.132,                0.84699,                0.84239,                0.90743,                0.84392,                0.36851,                 0.5689,                 1.0295,               0.004951,               0.004951,               0.004951
                     53,                  0.432,                 0.6727,                 1.1395,                0.83424,                0.83348,                0.90247,                0.84085,                0.36012,                0.56535,                 1.0069,               0.004852,               0.004852,               0.004852
                     54,                0.42859,                0.67735,                 1.1292,                0.86328,                0.79831,                 0.8908,                0.83612,                0.33256,                0.63255,                0.98638,               0.004753,               0.004753,               0.004753
                     55,                0.41941,                0.64897,                 1.1206,                0.83258,                0.83539,                0.89978,                0.83392,                0.36555,                0.56868,                 1.0245,               0.004654,               0.004654,               0.004654
                     56,                0.42932,                0.64317,                 1.1344,                0.85083,                0.82233,                 0.9016,                0.84238,                0.34964,                 0.5911,                 1.0036,               0.004555,               0.004555,               0.004555
                     57,                0.42428,                0.66448,                 1.1319,                0.86304,                 0.8398,                0.91598,                0.86018,                0.31665,                0.52787,                0.95946,               0.004456,               0.004456,               0.004456
                     58,                0.42325,                0.64699,                 1.1279,                0.82213,                 0.8434,                0.90949,                0.85329,                0.33928,                0.54742,                0.98776,               0.004357,               0.004357,               0.004357
                     59,                0.41429,                0.64298,                 1.1222,                0.85046,                 0.8516,                0.91479,                0.86139,                0.33717,                0.54333,                0.97555,               0.004258,               0.004258,               0.004258
                     60,                0.41382,                0.64494,                 1.1155,                0.84898,                0.86605,                0.91212,                0.86411,                0.31502,                0.52898,                0.96238,               0.004159,               0.004159,               0.004159
                     61,                0.41926,                0.61374,                  1.121,                0.83657,                0.85788,                0.89218,                0.83409,                0.33702,                0.53881,                0.98322,                0.00406,                0.00406,                0.00406
                     62,                0.41381,                0.62748,                 1.1178,                0.80441,                0.88248,                0.91403,                0.85521,                 0.3553,                0.55748,                 1.0153,               0.003961,               0.003961,               0.003961
                     63,                0.40841,                0.60638,                 1.1127,                0.82726,                0.84184,                  0.904,                0.85094,                0.31863,                0.55144,                0.96249,               0.003862,               0.003862,               0.003862
                     64,                0.40384,                0.59776,                 1.1147,                 0.8828,                0.83263,                0.92327,                0.86905,                0.33789,                0.51341,                 0.9837,               0.003763,               0.003763,               0.003763
                     65,                0.39858,                0.58775,                 1.1109,                0.87144,                0.82006,                0.89976,                0.85109,                0.33347,                0.56433,                0.99005,               0.003664,               0.003664,               0.003664
                     66,                0.41276,                0.59597,                 1.1163,                0.84004,                0.86025,                0.91442,                0.87032,                0.31789,                 0.5221,                 0.9629,               0.003565,               0.003565,               0.003565
                     67,                 0.3937,                0.57235,                 1.1065,                0.86598,                0.82654,                 0.9108,                0.86615,                0.30704,                0.54387,                0.94736,               0.003466,               0.003466,               0.003466
